id,plate_text,confidence,source,frame_num,plate_img,timestamp
224,EFOZL,0.405,video,582,video_20260523_123021_554861.jpg,2026-05-23 12:30:21
225,4K64PM,0.72,video,585,video_20260523_123021_701844.jpg,2026-05-23 12:30:21
226,EFLO ZL,0.541,video,585,video_20260523_123021_772364.jpg,2026-05-23 12:30:21
227,AKBADM,0.742,video,588,video_20260523_123021_974897.jpg,2026-05-23 12:30:21
228,EFLOPZU,0.421,video,588,video_20260523_123022_049344.jpg,2026-05-23 12:30:22
229,4KKBADM,0.613,video,591,video_20260523_123022_258622.jpg,2026-05-23 12:30:22
230,EFO PZL,0.418,video,591,video_20260523_123022_331011.jpg,2026-05-23 12:30:22
231,AKBAOLM,0.78,video,597,video_20260523_123022_703134.jpg,2026-05-23 12:30:22
232,ELQPZL,0.53,video,597,video_20260523_123022_752910.jpg,2026-05-23 12:30:22
233,AKSADM,0.696,video,600,video_20260523_123022_954033.jpg,2026-05-23 12:30:22
234,EFODZL,0.404,video,600,video_20260523_123023_004288.jpg,2026-05-23 12:30:23
235,EFLODZT,0.596,video,603,video_20260523_123023_191477.jpg,2026-05-23 12:30:23
236,AK6A DLN,0.419,video,603,video_20260523_123023_292311.jpg,2026-05-23 12:30:23
237,ODZL,0.639,video,606,video_20260523_123023_487738.jpg,2026-05-23 12:30:23
238,EFOPZU,0.71,video,618,video_20260523_123024_163987.jpg,2026-05-23 12:30:24
239,FFOPZL,0.614,video,624,video_20260523_123024_418767.jpg,2026-05-23 12:30:24
240,EFODZU,0.728,video,627,video_20260523_123024_562831.jpg,2026-05-23 12:30:24
241,EODZU,0.72,video,630,video_20260523_123024_695006.jpg,2026-05-23 12:30:24
242,EFO DZL,0.612,video,633,video_20260523_123024_860850.jpg,2026-05-23 12:30:24
243,LB5H,0.439,video,645,video_20260523_123025_387543.jpg,2026-05-23 12:30:25
244,LE5K,0.521,video,660,video_20260523_123026_099519.jpg,2026-05-23 12:30:26
245,LF65 K,0.669,video,663,video_20260523_123026_257296.jpg,2026-05-23 12:30:26
246,LG5,0.503,video,666,video_20260523_123026_449642.jpg,2026-05-23 12:30:26
247,6OSD,0.409,video,669,video_20260523_123026_629865.jpg,2026-05-23 12:30:26
248,LE65KV,0.633,video,672,video_20260523_123026_865463.jpg,2026-05-23 12:30:26
249,LEB5UKV,0.684,video,675,video_20260523_123027_092855.jpg,2026-05-23 12:30:27
250,LBSUKL,0.65,video,678,video_20260523_123027_273826.jpg,2026-05-23 12:30:27
251,LESUKU,0.609,video,681,video_20260523_123027_526014.jpg,2026-05-23 12:30:27
252,NB5UK,0.588,video,687,video_20260523_123027_797411.jpg,2026-05-23 12:30:27
253,NB5 JK,0.641,video,690,video_20260523_123028_032241.jpg,2026-05-23 12:30:28
254,N66SUK,0.598,video,693,video_20260523_123028_232867.jpg,2026-05-23 12:30:28
255,AB5JK,0.571,video,696,video_20260523_123028_435194.jpg,2026-05-23 12:30:28
256,ASUK,0.64,video,702,video_20260523_123028_723533.jpg,2026-05-23 12:30:28
257,LAB5UK,0.718,video,705,video_20260523_123028_902882.jpg,2026-05-23 12:30:28
258,465UJKL,0.629,video,708,video_20260523_123029_135471.jpg,2026-05-23 12:30:29
259,QJOB DD,0.419,video,717,video_20260523_123029_634647.jpg,2026-05-23 12:30:29
260,GJOBEPD,0.47,video,729,video_20260523_123030_296617.jpg,2026-05-23 12:30:30
261,GJOBEP,0.41,video,735,video_20260523_123030_657772.jpg,2026-05-23 12:30:30
262,WSZZC,0.431,video,741,video_20260523_123030_953609.jpg,2026-05-23 12:30:30
263,KHO6 KSU,0.41,video,741,video_20260523_123031_012739.jpg,2026-05-23 12:30:31
264,KHOS KSU,0.542,video,747,video_20260523_123031_429816.jpg,2026-05-23 12:30:31
265,GJOS EP0,0.427,video,756,video_20260523_123031_982870.jpg,2026-05-23 12:30:31
266,KHOG KSU,0.444,video,759,video_20260523_123032_206106.jpg,2026-05-23 12:30:32
267,0JOSEED,0.459,video,762,video_20260523_123032_440710.jpg,2026-05-23 12:30:32
268,OJOSEED,0.479,video,765,video_20260523_123032_592958.jpg,2026-05-23 12:30:32
269,LN5ZZC,0.403,video,765,video_20260523_123032_652591.jpg,2026-05-23 12:30:32
270,WBZZQ,0.501,video,768,video_20260523_123032_828030.jpg,2026-05-23 12:30:32
